Check List Number,Species name,Host Plant (book),Host Plant on iNat,Count,Broods,Date,Year,Chart Year,Notes,New_notes,Found in iNat,iNat link,Name change?,Exported?,Adult Export,Broods in iNat,Climax in iNat,1919First,1919Peak,1919Last,1922First,1922Peak,1922Last,,,,
1933,Cirphis pseudarygria ,,,27,1,June,1919,"Chart 2, 1919 and 1922","The ontrast in the two seasons is striking. The July flight in 1922 was wholly of dwarf specimens, the August flight practically normal.",,Yes?,https://www.inaturalist.org/taxa/223554-Leucania-pseudargyria,Leucania pseudargyria,401519,402698,1,,22,23,25,20,27,33,,,,
1933,Cirphis pseudarygria ,,,96,,"Climax June 20, July 15, August 18",1922,"Chart 2, 1919 and 1922","Three flights. The ontrast in the two seasons is striking. The July flight in 1922 was wholly of dwarf specimens, the August flight practically normal.",,No,,,,,,,,,,,,,,,,
1950,Cirphis unipuncta, ,"Larvae feed and damage on a variety of Graminae (weedy grasses) and other crops: Hordeum vulgare – barley
Maize – corn
Oats
Rice
Rye
Sorghum
Sugarcane
Wheat
Alfalfa
Artichoke
Bean
Cabbage
Carrot
Celery
Cucumber
Lettuce
Onion
Parsley
Pepper
Sweet potato

Adults feed on the nectar of various types of flowers and will eat ripe or decaying fruit",14,2,,1919,"Chart 2, 1919 and 1922","The very few specimens taken (14 in all) are extraordinarily scattered. The indication of hibernation in the imago is plain, as the early specimens are rubbed. The species also hibernate in the
larva, and I understand, other stages. There are supposed to be about two broods.",,Yes,https://www.inaturalist.org/taxa/121183-Mythimna-unipuncta,Mythimna unipuncta,401521,402699,2,"21, 31",18,35,39,17,36,36,"No bar chart, just individual captures",,,
1950,Cirphis unipuncta,,,,,,1922,"Chart 2, 1919 and 1922",,,No,,,,,,,,,,,,,,,,
1972,Leucania luteopallens,,,65,2,June and August/September,1919,"Chart 3, 1919 and 1922","June brood is the principal one, and the fall brood is presumably partial",,Yes,https://www.inaturalist.org/taxa/225424-Mythimna-oxygala,Mythimna oxygala,401522,402700,2,"23, 33",22,23; 35,35,20,24; 34,38,,,,
1972,Leucania luteopallens,,,,,,1922,"Chart 3, 1919 and 1922",,,,,,,,,,,,,,,,,,,
2216,Conistra indirecta,,,18,1,October-May,1919,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/229535-Pyreferra-hesperidago,Pyreferra hesperidago,401523,402752,1,,17,18,21,,,,,,,
2216,Conistra indirecta,,,,,,1922,"Chart 3, 1919 and 1922",,,No,,,,,,,,,,,,,,,,
2291,Trachae finitima, ,"larva feeds on various grasses, including oats, fescues, barleys, canarygrasses, timothy, ryes, wheats, and wild rice",47,1,June and August/September,1919,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/213859-Apamea-sordens,Apamea sordens,401524,402753,1,,22,23,24,22,23,24,,,,
2291,Trachae finitima,,,,,,1922,"Chart 3, 1919 and 1922",,,,,,,,,,,,,,,,,,,
2638,Apamea nictitans, ,"At night the moths come to light and to flowers, honeydew and sugar. During the day it feeds at the flowers of thistles and ragwort/arvae feed, from April to June, on the stems and roots of various grasses and low plants, including butterbur (Petasites hybridus) and tufted hair-grass (Deschampsia cespitosa)",42,1,Climax August 10,1919,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/201235-Amphipoea-oculea,Amphipoea oculea,no obervations,,,,27,31,33,22,23,34,,,,
2638,Apamea nictitans,,,,,,1922,"Chart 3, 1919 and 1922",,,,,,,,,,,,,,,,,,,
2704,Ogdoconta cinereola,,,22,1,June and a few stragglers in midsummer,1919,"Chart 2, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/143849-Ogdoconta-cinereola,,401526,402755,2,"27, 30",22,23; 30,34,21,21; 31,35,,,,
2704,Ogdoconta cinereola,,,86,2,June/July and August,1922,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/143849-Ogdoconta-cinereola,,,,,,,,,,,,,,,
2894,Lithacodia synochitis,,,13,1,June,1919,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/211012-Maliattha-synochitis,Maliattha synochitis,401527,402756,1,,22,24,25,23,24,25,,,,
2894,Lithacodia synochitis,,,,,,1922,"Chart 3, 1919 and 1922",,,,,,,,,,,,,,,,,,,
2895,Lithacodia albidula,,,29,1,Climax June 19,1919,"Chart 3, 1919 and 1922",,,Yes,https://www.inaturalist.org/taxa/228854-Protodeltote-albidula,Protodeltote albidula,401528,402912,2,"29,39",23,25,28,25,28,28,,,,
2895,Lithacodia albidula,,,,,,1922,"Chart 3, 1919 and 1922",,,,,,,,,,,,,,,,,,,
