Check List Number,Species name,Host Plant (book),Host Plant on iNat,Count,Broods,Date,Year,Chart Year,Notes,New_notes,Found in iNat,iNat link,Name change?,Exported?,Adult Export,Broods in iNat,Climax in iNat,1919First,1919Peak,1919Last,1922First,1922Peak,1922Last,,,,
4680,Nematocampa limbata subspecies filamentaria,,,200,2,"Late June and the first half of July, stragglers in August",,"Chart 8, 1919 and 1922",exceptionally weak second brood is no more developed in 1922 and 1919,,Yes,https://www.inaturalist.org/taxa/81656-Nematocampa-resistaria,Nematocampa resistaria,401572,402963,1,,24,25,28,24,26,28,,,,
4685,Gonodontis hypochraria,,,58,1,Early June,,"Chart 8, 1919 and 1922",A little later in 1919,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=224984,Metarranthis hypochraria,401573,402964,1,,21,22,24,20,21,25,,,,
4744,Pero honestarius,,,35,2,Climax in May and weaker second in August,,"Chart 8,1922",4 specimens in the two years together,,No,,,,,,,,,,,,,,,,
4752,Pero marmoratus,,,22,2,June and August 1,,"Chart 8, 1922","Only the early brood was well marked in 1919, and only the late one appeared in 1922.",,Yes,https://www.inaturalist.org/taxa/227512-Pero-ancetaria,Pero ancetaria,,,,,,,,,,,,,,
4762,Tetracis crocallata,,,81,1,,,"Chart 8, 1922",,,Yes,https://www.inaturalist.org/taxa/144107-Tetracis-crocallata,,,,,,,,,,,,,,,
4769,Sabulodes lorata,,,,1,June,,"Chart 9, 1919 and 1922",One strong brood in June and stragglers in midsummer. Suspect that 21 specimens recorded for July 16 have been mislabelled in some way.,,Yes?,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=131673,Tetracis cachexiata ???,401574,402965,1,,20,22,24,20,23,35,,,,
4777,Sabulodes transverata,,,447,1,Midsummer,,"Chart 9, 1919 and 1922","In 1922 this was by far the commonest of geometers, and by a little the most abundant moth at the trap, 395, specimens being taken and counted",,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143518,Prochoerodes lineola,401576,402967,2,29; 40,28,31,35,26,29,38,,,,
4780,Abbotana clemataria,,,68,1,May into June,,"Chart 9, 1919 and 1922",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=205197,Eutrapela clemataria,401577,402968,1,,18,29,22,18,19,22,,,,
4842,Lithacodes fasciola,,,29,1,July,,"Chart 9, 1922",,,Yes,https://www.inaturalist.org/taxa/201343-Lithacodes-fasciola,,401578,402970,1,,26,26,28,25,27,30,,,,
4843,Packardia elegans,,,7,1,June,1919,"Chart 9, 1922",Brood cut short by dry season,,Yes,https://www.inaturalist.org/taxa/226847-Packardia-elegans,,401579,402971,1,,24,24,24,24,26,27,,,,
4843,Packardia elegans,,,17,1,July 2,1922,"Chart 9, 1922",,,Yes,https://www.inaturalist.org/taxa/226847-Packardia-elegans,,,,,,,,,,,,,,,
4921,Desmia funeralis,,,21,,"June 7 to August 13, with climax July 15",,,Flight irregular,,Yes,https://www.inaturalist.org/taxa/118788-Desmia-funeralis,,,,,,,,,,,,,,,
4960,Pantographa limata,,,24,1,"June 18 to August 4, with climax July 14",,"Chart 9, 1922",,,Yes,https://www.inaturalist.org/taxa/205240-Pantographa-limata,,401580,402972,1,,24,27,30,24,27,27,,,,
5004,Evergestis straminalis,,,206,2,Climax about June 12 and August 20,,"Chart 9, two years combined",,,Yes,,Evergestis pallidata,401581,403075,,,21,23; 33,36,,,,*Combined,,,
5005,Crocidophera serratissimalis,,,12,,June 17 to July 25,,,A little earlier in 1919,,No,,,,,,,,,,,,,,,,
5020,Loxostege marculenta,,,42,2,"Climax about June 29, stragglersfrom May 17 to August 19",,"Chart 9, 1919","Climax about June 29, stragglersfrom May 17 to August 19 (last sttempt at second brood)",,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=1090596,"Hahncappsia marculenta
",401582,402976,1,,19,24,32,23,25,29,,,,
,Boeotarcha demantrialis,,,5,,July 24 to August 14,,,,,No,,,,,,,,,,,,,,,,
5088,Phlyctaenia ferrugalis,,,56,2,"Heavy brood in October and November, and scattering in July and August 1",,"Chart 9, combined",The secondary maximum in the end of August appeared both years and may represent another partial (second) brood,Flag for Jason - seems to be a European species (probably wrong),Yes?,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143615,Udea rubigalis,401584,402977,1,,18,29; 33,40,,,,*Combined,,,
5099,Phlyctaenia terrealis,,,128,2,June and August,,"Chart 9, combined",,,Yes?,https://www.inaturalist.org/observations?place_id=any&subview=map&taxon_id=324639,Algedonia mysippusalis,no obervations,,0,,19,23; 32,25,,,,*Combined,,,
5102,Phlyctaenia tertialis,,,96,2,"Later half of July, August",,"Chart 9, combined","First brood in latter half on June, continuing in smaller numbers well through July",,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=491390,Anania coronata,401586,402979,1,,23,24; 32,34,,,,*Combined,,,
5111,Pyrausta pertextalis,,,90,2,June and August,,"Chart 9, combined",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143008,Herpetogramma pertextalis,401587,402981,1,,22,23; 32,35,,,,*Combined,,,
5112,Pyrausta fissalis,,,160,1,Climax before middle July,,"Chart 9, 1919 and 1922",The peak at theend of June 1919 is almost entirely caused by 24 specimens taken June 27,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=146645,Herpetogramma abdominalis,401588,402982,1,,20,25,31,25,27,29,,,,
5113,Pyrausta aeglealis,,,74,1,July ,,"Chart 9, 1922",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=221215,Herpetogramma aeglealis,401589,402985,1,,27,29,30,27,27,31,,,,
5239,Scoparia cinereomedia,,,15,1,Climax before middle July,,,,,Yes,https://www.inaturalist.org/taxa/230661-Scoparia-cinereomedia,,,,,,,,,,,,,,,
5273,Galasa nigrinodis,,,41,1,June in 1919 and July 10 1922,,"Chart 9, 1922",Took advantage of the moist July of 1922,,Yes,https://www.inaturalist.org/taxa/84024-Galasa-nigrinodis,,401590,402986,1,,23,25,26,25,27,28,,,,
5338,Crambus pascuellus,,,8,1,June 12 to 29,,,,,Yes,https://www.inaturalist.org/taxa/333907-Crambus-pascuella,,,,,,,,,,,,,,,
5341,Crambus girardellus,,,12,1,July 19 to July 22,,,,,Yes,https://www.inaturalist.org/taxa/143097-Crambus-girardellus,,,,,,,,,,,,,,,
5344,Crambus praefectellus,,,58,2,Climax June 20 and August 15,,"Chart 9, 1922",Second brood was proportionately weak in 1919,,Yes,https://www.inaturalist.org/taxa/143000-Crambus-praefectellus,,401591,402988,2,24; 31,22,24; 34,34,20,24; 32,36,,,,
5353,Crambus alboclavellus,,,82,1,Climax July 10,,"Chart 10, combined",Not very confident of separation of alboclavellus and agitatellus,,Yes,https://www.inaturalist.org/taxa/133447-Crambus-agitatellus,Crambus agitatellus,401520,402990,1,,22,27,30,,,,*Combined chart,,,
5355,Crambus agitatellus,,,34,,Climax July 10,,,,,Yes,https://www.inaturalist.org/taxa/133447-Crambus-agitatellus,,,,,,,,,,,,,,,
5358,Crambus laqueatellus,,,12,1,Climax June 13,,,,,Yes,https://www.inaturalist.org/taxa/144075-Crambus-laqueatellus,,,,,,,,,,,,,,,
5361,Crambus hortuellus,,,182,1,Climax June 25,1919,,,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=321779,Chrysoteuchia topiarius,401592,402991,1,,20,25,28,24,26,30,,,,
5361,Crambus hortuellus,,,182,,Climax July 5,1922,,,,No,,,,,,,,,,,,,,,,
5362,Crambus albellus,,,63,1,June 27,1919,,,,Yes,https://www.inaturalist.org/taxa/217673-Crambus-albellus,,401594,402992,1,,24,26,30,,,,*Combined chart,,,
5362,Crambus albellus,,,63,,July 6,1922,heavier flight,,,Yes,https://www.inaturalist.org/taxa/217673-Crambus-albellus,,,,,,,,,,,,,,,
5366,Crambus elegans,,,12,1,end of July,,,,,No,,,,,,,,,,,,,,,,
5367,Crambus polingi,,,4,,July 12 to 16,1922,first record for eastern states,,,No,,,,,,,,,,,,,,,,
5368,Crambus vulgivagellus,,,192,1,Beginning of September,,"Chart 10, combined",,,Yes- no observations,https://www.inaturalist.org/taxa/1023419-Crambus-vulgivagellus,Agriphila vulgivagellus,401595,403076,,,32,34,36,,,,*Combined chart,,,
5371,Crambus ruricolellus,,,347,1,Climax end of August,,"Chart 10, combined",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=146967,Agriphila ruricolellus,401596,402995,1,,32,34,36,,,,*Combined chart,,,
5384,Crambus mutabilis,,,38,1,Later half of August,,"Chart 10, 1922","Common in 1922, scarce in 1919",,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143730,Fissicrambus mutabilis,401597,403002,2,24; 32,34,34,34,30,33,34,,,,
5392,Crambs trisectus,,,32,2,June and August,,"Chart 10, 1922",Scarce in 1919,,No,,,,,,,,,,4,6; 15,17,*No 1919 data?,,,
5367-5399,Crambus group luteolellus,,,125,2,June 16 to September 1,,,Unable to separate these 3 supposed species,,No,,,,,,,,,,,,,,,,
5490,Tetralopha asperatella ,,,26,1,June 8 to 27,1919,,,,Yes- no observations,https://www.inaturalist.org/taxa/232408-Tetralopha-asperatella,,,,,,,,,,,,,,,
5490,Tetralopha asperatella ,,,26,1,July 1 to 23,1922,,stragglers May 31 and June 13. Exceptionally sensitive to weather conditions,,Yes- no observations,https://www.inaturalist.org/taxa/232408-Tetralopha-asperatella,,,,,,,,,,,,,,,
5726,Vitula edmandsii,,,10,2,"Principal in June, second August 15 to September 5",1919,"Chart 10, 1922",straggler October 9,,Yes,https://www.inaturalist.org/taxa/233590-Vitula-edmandsii,,401598,403003,1,,23,24; 34,39,26,28; 32,34,,,,
5726,Vitula edmandsii,,,42,1,Maxima July 18 and August 15,1922,"Chart 10, 1922",,,Yes,https://www.inaturalist.org/taxa/233590-Vitula-edmandsii,,,,,,,,,,,,,,,
5835,Peoria approximella,,,18,1,June 15 to July 15,,,,,Yes,https://www.inaturalist.org/taxa/227434-Peoria-approximella,,,,,,,,,,,,,,,
5881,Platyptilia pallidactyla 46,,,,1,June,1919,"Chart 10, 1919",Straggler August 8,,Yes,https://www.inaturalist.org/taxa/321014-Gillmeria-pallidactyla,Gillmeria pallidactyla,,,,,,,,,,,,,,
6021,Metzneria lapella,,,66,1,July,,"Chart 10, combined",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=118556,Metzneria lappella,401599,403004,1,,25,27,31,,,,*Combined chart,,,
6041,Aristoteloa roseosuffusella,,,22,,June 25 to August 23,,,irregular,,No,,,,,,,,,,,,,,,,
6424,Cryptolechia tenoriferella,,,134,1,Climax early September,,"Chart 10, combined",Mainly based on 1919,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=81689,Machimia tentoriferella,401600,403005,1,,32,35,40,,,,*Combined chart,,,
6798,Exartema permundanum,,,14,1,July 3 to 28,,,,,No,,,,,,,,,,,,,,,,
6800,Exartema concinnanum,,,11,1,July 28 to July 27,,,,,No,,,,,,,,,,,,,,,,
6807,Exartema inornatanum,,,14,,July 8 to August 23,,,,,No,,,,,,,,,,,,,,,,
"6807,2",Exartema quadrifidum,,,50,1,Climax end of June,,"Chart 10, combined",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=320965,"Olethreutes quadrifidum
",401601,403006,1,,23,24,29,,,,*Combined chart,,,
6810,Exartema merrickanum,,,21,1,June 20 to July 16,,,,,No,,,,,,,,,,,,,,,,
6827,Argyroploce hebesana,,,48,2,Maxima at July 18 and August 25,,"Chart 10, combined",2 flights both years,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=219169,Endothenia hebesana,401602,403007,1,,25,28; 32,40,,,,,,,
7281,Coelostathma discopunctanum,,,8,1,Later June,1919,"Chart 19, 1922",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=203850,Coelostathma discopunctana ???,401608,403008,1,,23,24,26,23,27; 33,34,,,,
7281,Coelostathma discopunctanum,,,28,2,Early July and later August,1922,"Chart 19, 1922",Extra brood in 1922,,No,,,,,,,,,,,,,,,,
7316,Sparganothis sulfurcana,,,28,2,June/July and late August/September,1919 and 1922,,,,No,,,,,,,,,,,,,,,,
7345,Cacoecia obsoletana,,,29,1,July in 1919 and August in 1922,1919 and 1922,,,,No,,,,,,,,,,,,,,,,
7353,Cacoecia argyrospila,,,25,1,end of June,,"Chart 10, 1922",few stragglers,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=214078,Archips argyrospilus,401610,403009,1,,24,25,30,21,24,25,,,,
7356,Cacocci fractivittana ,,,9,1,Climax June 12,,,,,No,,,,,,,,,,,,,,,,
7361,Cacoecia rosaceana,,,35,1,June,,"Chart 10, combined",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=143728,"Choristoneura rosaceana
",401611,403044,0,,20,24,25,,,,*Combined chart,,,
7364,Tortrix quercifoliana ,,,15,1,July 3,,,straggler August 2,,No,,,,,,,,,,,,,,,,
7367,Tortrix clemensiana ,,,31,2,June and August,,"Chart 10, 1922",,,No,,,,,,,,,,5,7; 16,16,,,,
7390,Eulia velutinana,,,103,3,"Heavy in July,smaller in May and middle August",1919 and 1922,"Chart 10, combined","straggler October 22, 1919",,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=208118,Argyrotaenia velutinana,401613,403011,2,20;30,17,20; 28; 34,40,,,,*Combined chart,,,
7556,Carposina fernaldana,,,22,1,July 21 to AUgust 23,,,,,Yes,https://www.inaturalist.org/taxa/216149-Carposina-fernaldana,,,,,,,,,,,,,,,
8054,Gracilaria superbifrontella,,,60,1,August,,"Chart 10, 1922","Stragglers, trap not running to catch winter brood","Has iNat records, but mostly in Pennsylvania and New England",Yes - no local observations,https://www.inaturalist.org/taxa/366165-Caloptilia-superbifrontella,Caloptilia superbifrontella,no observations,,0,,23,24,33,20,32,35,,,,
8234,Xylesthia pruniramiella ,,,17,1,June 20 to July 25,,,Single specimens AUgust 14 and 23,,Yes,https://www.inaturalist.org/taxa/233841-Xylesthia-pruniramiella,,,,,,,,,,,,,,,
