scientificName,decimalLongitude,decimalLatitude
diplacus_calycinus,-117.3113717,34.18566167
diplacus_calycinus,-117.315225,34.189005
diplacus_calycinus,-117.3151783,34.18898
diplacus_calycinus,-116.6962283,33.73603333
diplacus_calycinus,-116.7481695,33.78184142
diplacus_calycinus,-116.7217898,33.72805482
diplacus_calycinus,-116.6854867,33.41933333
diplacus_calycinus,-116.7250559,33.72009614
diplacus_calycinus,-116.661995,33.99054667
diplacus_calycinus,-116.65918,33.98877167
diplacus_calycinus,-118.9831278,36.86396389
diplacus_calycinus,-118.8338683,36.81939167
diplacus_calycinus,-118.5808867,35.56717167
diplacus_calycinus,-116.8391979,33.59067472
diplacus_calycinus,-118.0853805,35.77776667
diplacus_calycinus,-118.4471283,35.97713333
diplacus_calycinus,-116.1447445,34.0725055
diplacus_calycinus,-116.16886,34.01465
diplacus_calycinus,-119.0238145,36.42873196
diplacus_calycinus,-118.1952347,35.50809951
diplacus_calycinus,-116.8422704,33.86051365
diplacus_calycinus,-116.1707833,34.01850833
diplacus_calycinus,-116.6239442,33.64477164
diplacus_calycinus,-118.83345,36.81972833
diplacus_calycinus,-116.6658033,33.98907833
diplacus_calycinus,-118.7180717,36.1594805
diplacus_calycinus,-118.9469133,36.39251333
diplacus_calycinus,-119.0294112,36.401245
diplacus_calycinus,-116.645303,33.69713
diplacus_calycinus,-118.3422575,34.32798587
diplacus_calycinus,-116.7746093,33.79679109
diplacus_calycinus,-116.9798883,34.11958454
diplacus_calycinus,-118.836465,36.487015
diplacus_calycinus,-116.1904997,34.04086818
diplacus_calycinus,-119.0294278,36.40122
diplacus_calycinus,-116.1685256,34.0175101
diplacus_calycinus,-118.3072818,35.74329716
diplacus_calycinus,-118.7822883,35.45005
diplacus_calycinus,-116.686116,33.742703
diplacus_calycinus,-117.1588257,33.84129627
diplacus_calycinus,-116.4517656,34.14882198
diplacus_calycinus,-118.536104,35.314945
diplacus_calycinus,-116.1585241,34.01541396
diplacus_calycinus,-118.7557366,35.46578656
diplacus_calycinus,-116.6931528,33.88229444
diplacus_calycinus,-118.4522211,35.83547891
diplacus_calycinus,-118.8277967,36.82227
diplacus_calycinus,-118.8345333,36.82032833
diplacus_calycinus,-117.6309283,34.26718
diplacus_calycinus,-118.4733558,35.97142462
diplacus_calycinus,-118.6735084,36.16008474
diplacus_calycinus,-116.597245,33.61477
diplacus_calycinus,-118.5683354,35.57934441
diplacus_calycinus,-116.7125167,33.86705278
diplacus_calycinus,-116.6592056,33.98872222
diplacus_calycinus,-118.7110775,35.48487743
diplacus_calycinus,-116.6590583,33.98879667
diplacus_calycinus,-117.9227972,35.71283056
diplacus_calycinus,-116.1774755,34.02129589
diplacus_calycinus,-116.660325,33.98961944
diplacus_calycinus,-116.178795,34.0283195
diplacus_calycinus,-116.7286877,33.74208895
diplacus_calycinus,-118.86657,36.45172167
diplacus_calycinus,-118.94887,36.406445
diplacus_calycinus,-117.3381717,34.231895
diplacus_calycinus,-118.830405,36.488945
diplacus_calycinus,-118.7832117,36.51698667
diplacus_calycinus,-117.6138306,34.25185278
diplacus_calycinus,-117.6139528,34.25181667
diplacus_calycinus,-116.239727,34.07240317
diplacus_calycinus,-118.765555,36.23283333
diplacus_calycinus,-116.5384917,34.15080283
diplacus_calycinus,-116.1733383,34.01559445
diplacus_calycinus,-117.6309283,34.26704667
diplacus_calycinus,-116.6621783,33.980025
diplacus_calycinus,-116.1904617,34.04087783
diplacus_calycinus,-116.1492064,34.03178305
diplacus_calycinus,-116.1784833,34.02472783
diplacus_calycinus,-116.6621467,33.98008333
diplacus_calycinus,-119.0228887,36.86402475
diplacus_calycinus,-118.4870875,35.65601231
diplacus_calycinus,-116.8628482,33.90161492
diplacus_calycinus,-116.1912215,34.04008177
diplacus_calycinus,-118.4616024,35.82483127
diplacus_calycinus,-116.8433297,34.02909842
diplacus_calycinus,-117.275375,33.97947
diplacus_calycinus,-116.2123227,34.07985634
diplacus_calycinus,-118.8004917,36.513375
diplacus_calycinus,-118.4842617,36.06134167
diplacus_calycinus,-118.2226117,35.47874667
diplacus_calycinus,-118.5003367,35.61625333
diplacus_calycinus,-116.8838667,34.08305
diplacus_calycinus,-118.8354684,36.82271428
diplacus_calycinus,-116.6639167,33.97992833
diplacus_calycinus,-116.135475,34.03435833
diplacus_calycinus,-116.61017,33.683495
diplacus_calycinus,-116.198671,34.04095611
diplacus_calycinus,-118.7814717,35.4493
diplacus_calycinus,-116.9069864,34.09657498
diplacus_calycinus,-119.0294581,36.40102633
diplacus_calycinus,-119.0237738,36.42873349
diplacus_calycinus,-118.2162441,35.69466603
diplacus_calycinus,-117.9195867,35.70545833
diplacus_calycinus,-116.7252047,33.7463402
diplacus_calycinus,-118.5360873,35.31503274
diplacus_calycinus,-116.1985923,34.04084494
diplacus_calycinus,-116.1987396,34.0412785
diplacus_calycinus,-118.798213,36.20555608
diplacus_calycinus,-119.0294194,36.40128721
diplacus_calycinus,-116.170805,34.0185445
diplacus_calycinus,-116.6621783,33.98003833
diplacus_calycinus,-117.5042283,33.93196949
diplacus_calycinus,-118.8026667,36.15548333
diplacus_calycinus,-118.8546306,36.49392778
diplacus_calycinus,-116.1620478,34.01757693
diplacus_calycinus,-118.4761045,35.90554823
diplacus_calycinus,-117.6532217,34.24027167
diplacus_calycinus,-116.153,34.03193617
diplacus_calycinus,-119.4577399,37.02070001
diplacus_calycinus,-116.659225,33.98904667
diplacus_calycinus,-117.74665,34.26243333
diplacus_calycinus,-118.111594,35.74873406
diplacus_calycinus,-118.5800677,35.55409924
diplacus_calycinus,-116.2117034,34.08151618
diplacus_calycinus,-116.96495,34.102225
diplacus_calycinus,-116.1493305,34.03179167
diplacus_calycinus,-118.7124861,35.47387778
diplacus_calycinus,-118.7679533,36.52301667
diplacus_calycinus,-116.61007,33.68341333
diplacus_calycinus,-118.7997133,36.15392217
diplacus_calycinus,-116.1699533,34.01608333
diplacus_calycinus,-117.3376549,34.23222185
diplacus_calycinus,-116.1984117,34.0410305
diplacus_calycinus,-116.8834533,34.08308333
diplacus_calycinus,-116.6623167,33.98023333
diplacus_calycinus,-116.1608888,34.0171805
diplacus_calycinus,-116.1590424,34.02603248
diplacus_calycinus,-116.6926417,33.88243
diplacus_calycinus,-118.778618,36.520144
diplacus_calycinus,-116.72187,33.74417167
diplacus_calycinus,-116.6962963,33.86853211
diplacus_calycinus,-117.3147434,34.18898463
diplacus_calycinus,-116.1350818,34.03544676
diplacus_calycinus,-117.2916384,34.02519692
